,Name,Categories,City,Latitude,Longitude
375,Atlanta Motor Speedway,Racetrack,Hampton,33.38439200036649,-84.31572568776343
376,Chick-fil-A,Fast Food Restaurant,Hampton,33.449401,-84.3259954
377,QuikTrip,Convenience Store,Riverdale,33.5542978381271,-84.41372906344648
378,Chick-fil-A,Fast Food Restaurant,Jonesboro,33.5539166,-84.3696433
379,Chick-fil-A,Fast Food Restaurant,Riverdale,33.5756225,-84.4129849
380,Golden Krust Caribbean Restaurant,Caribbean Restaurant,College Park,33.59092674958568,-84.46887717503206
381,Aldi,Grocery Store,College Park,33.596542377265074,-84.42797631025314
382,Firehouse Subs,Sandwich Place,Griffin,33.247006,-84.264961
383,Planet Smoothie,Smoothie Shop,Morrow,33.568809,-84.331767
384,Chick-fil-A,Fast Food Restaurant,Morrow,33.5625775,-84.323142
385,Publix,Grocery Store,Locust Grove,33.36581184698578,-84.18108331561038
386,Chick-fil-A,Fast Food Restaurant,McDonough,33.4630677,-84.2146147
387,Chick-fil-A,Fast Food Restaurant,Stockbridge,33.5530406,-84.2718552
388,Heron Bay Golf & Country Club,Golf Course,Locust Grove,33.33563733268081,-84.2072592595067
389,Delta Sky Club,Airport Lounge,Atlanta,33.6410332522783,-84.43597693664228
390,15th Street Pizza & Pub,Pizza Place,McDonough,33.4820890980456,-84.22368397510039
391,Tutti Frutti,Ice Cream Shop,McDonough,33.42192750418076,-84.18649435043335
392,Chick-fil-A,Fast Food Restaurant,Forest Park,33.6190353,-84.3517361
393,Navy Federal Credit Union,Credit Union,Stockbridge,33.553091,-84.262677
394,Cracker Barrel Old Country Store,American Restaurant,McDonough,33.42986789965116,-84.18213365116624
395,Pho Dai Loi - Forest Park,Vietnamese Restaurant,Forest Park,33.64387375498953,-84.36403561530216
396,Piece of Cake,Bakery,Atlanta,33.6562182533563,-84.5139461567595
397,Krispy Kreme Doughnuts,Donut Shop,Stockbridge,33.55425446173629,-84.26338465429916
398,Hobby Lobby,Fabric Shop,McDonough,33.4236108,-84.1905792
